Unnamed: 0.1,Unnamed: 0,Category,Image_Info,Image_Path
0,0,"Hidden Information,Interface Interference","[{'from': 'human', 'value': '<image>\nDoes the following image have a deceptive pattern?'}, {'from': 'gpt', 'value': '“Unsubscribe here” is grayed out in front of a gray background, making it harder to see.'}]",/content/downloaded_dark_pattern_images/0.jpg
1,1,"Aesthetic Manipulation, Bait and Switch, Disguised Ad,Interface Interference","[{'from': 'human', 'value': '<image>\nDoes the following image have a deceptive pattern?'}, {'from': 'gpt', 'value': 'Clicking the “X” to close the ad clicks the “download from the Google Play Store” button, which was not the user’s intention.'}]",/content/downloaded_dark_pattern_images/1.jpg
2,2,"Bait and Switch, Forced Continuity,Sneaking","[{'from': 'human', 'value': '<image>\nDoes the following image have a deceptive pattern?'}, {'from': 'gpt', 'value': 'The typical case of forced continuity: free for one month then lapses into paid service. Also, (unsure if this is a dark pattern) the entire image shown here is the button to be clicked, not just the orange CTA button.'}]",/content/downloaded_dark_pattern_images/2.jpg
3,3,"Hidden Costs,Fine Print,Hidden Information,Interface Interference,Preselection,Sneaking","[{'from': 'human', 'value': '<image>\nDoes the following image have a deceptive pattern?'}, {'from': 'gpt', 'value': 'The radio button for a free first next directory is already checked, but if the user doesn’t read the fine print they will unknowingly consent to a credit check and having a credit account opened, which sends brochures 4x a year at a cost of £3.75 each, which are normally free from most businesses'}]",/content/downloaded_dark_pattern_images/3.jpg
4,4,"Interface Interference,Preselection","[{'from': 'human', 'value': '<image>\nDoes the following image have a deceptive pattern?'}, {'from': 'gpt', 'value': 'Unless the user reads the fine print, they may unwillingly sign up for email notifications and more'}]",/content/downloaded_dark_pattern_images/4.jpg
5,5,"Trick Questions,Interface Interference,Sneaking","[{'from': 'human', 'value': '<image>\nDoes the following image have a deceptive pattern?'}, {'from': 'gpt', 'value': 'Dropdown list is written so that typing “1” enters in “10”, not “1”.'}]",/content/downloaded_dark_pattern_images/5.jpg
6,6,"Hidden Costs,Sneaking","[{'from': 'human', 'value': '<image>\nDoes the following image have a deceptive pattern?'}, {'from': 'gpt', 'value': 'The room is advertised as an $86.43 room. This entices users into using the site to purchase a hotel; however, the final price after taxes and fees of $132.34 (higher than the hotel cost) is $218.77! The site should not advertise for $86 if the total is 250% of that!'}]",/content/downloaded_dark_pattern_images/6.jpg
7,7,"Hidden Costs,Hidden Information,Interface Interference,Preselection,Sneaking","[{'from': 'human', 'value': '<image>\nDoes the following image have a deceptive pattern?'}, {'from': 'gpt', 'value': 'When a user creates an account on Boston Globe, the email subscription checkboxes are already checked, and the “Price Today” is not the price paid in the future. To find the future price, the user must go to the FAQ section of the website'}]",/content/downloaded_dark_pattern_images/7.jpg
8,8,"Hidden Costs,Hidden Information,Interface Interference,Sneaking","[{'from': 'human', 'value': '<image>\nDoes the following image have a deceptive pattern?'}, {'from': 'gpt', 'value': 'On any page, there is a non-removable banner that claims the user can subscribe for only 99 cents per week, but if you follow the process to subscribe, the user finds out that this price only lasts for 4 weeks'}]",/content/downloaded_dark_pattern_images/8.jpg
9,9,"Aesthetic Manipulation, Bait and Switch,False Hierarchy,Interface Interference,Sneaking","[{'from': 'human', 'value': '<image>\nDoes the following image have a deceptive pattern?'}, {'from': 'gpt', 'value': 'Large popup ad with tiny “x” button, so the user is more likely to accidentally touch the ad'}]",/content/downloaded_dark_pattern_images/9.jpg
